station_id,receiver_id,lat,long,date_in,date_out
R01,5469,42.05108,3.21892,2021-06-28T08:11:00Z,2022-03-13T12:55:00Z
R02,5460,42.05298,3.22125,2021-06-28T08:23:00Z,2022-03-14T09:30:00Z
R03,5506,42.05065,3.22497,2021-06-28T08:49:00Z,2022-03-31T06:45:00Z
R04,5488,42.04945,3.22655,2021-06-28T09:10:00Z,2022-03-31T10:50:00Z
R05,8868,42.04732,3.22747,2021-06-26T09:40:00Z,2022-03-31T08:30:00Z
R06,8603,42.0453,3.22537,2021-06-26T12:46:00Z,2022-03-13T10:15:00Z
R07,5466,42.04367,3.22793,2021-06-26T11:27:00Z,2022-03-13T11:20:00Z
R08,8606,42.04273,3.22662,2021-06-26T13:20:00Z,2022-03-13T11:38:00Z
R09,6762,42.0419,3.22917,2021-06-26T12:10:00Z,2022-03-13T11:30:00Z
R10,6274,42.04023,3.22787,2021-06-26T13:40:00Z,2022-03-13T10:02:00Z
R11,5364,42.04102,3.22492,2021-07-02T10:00:00Z,2022-03-13T12:10:00Z
R12,5482,42.04462,3.21925,2021-06-28T10:26:00Z,2022-03-11T14:09:00Z
R13,5472,42.04762,3.21697,2021-06-28T11:04:00Z,2022-03-11T14:51:00Z
R01,5472,42.05108,3.21892,2022-03-13T13:00:00Z,2022-09-02T11:10:00Z
R02,5466,42.05298,3.22125,2022-03-14T09:35:00Z,2022-09-03T07:50:00Z
R03,8860,42.05065,3.22497,2022-03-31T06:50:00Z,2022-09-03T07:40:00Z
R04,8868,42.04945,3.22655,2022-03-31T10:56:00Z,2022-09-03T11:01:00Z
R05,5283,42.04732,3.22747,2022-03-31T13:34:00Z,2022-09-03T09:58:00Z
R06,6741,42.0453,3.22537,2022-03-13T10:20:00Z,2022-09-09T07:34:00Z
R07,8862,42.04367,3.22793,2022-03-13T11:25:00Z,2022-09-09T11:30:00Z
R08,6765,42.04273,3.22662,2022-03-13T11:45:00Z,2022-09-03T10:50:00Z
R09,6753,42.0419,3.22917,2022-03-13T11:35:00Z,2022-09-03T11:20:00Z
R10,6755,42.04023,3.22787,2022-03-13T10:07:00Z,2022-09-02T12:15:00Z
R11,6759,42.04102,3.22492,2022-03-13T12:15:00Z,2022-09-02T09:57:00Z
R12,6764,42.04462,3.21925,2022-03-11T14:14:00Z,2022-09-02T11:00:00Z
R13,6752,42.04762,3.21697,2022-03-11T14:56:00Z,2022-09-02T11:50:00Z
