species,tag_id,fish_id,length_cm,location,tag_date,recapture_date,protocol,min_delay,max_delay,sensor,sensor_slope,sensor_intercept,sensor_units,comments
Dicentrarchus labrax,4998,DICLAB-01,40,Medes Islands,2021-09-04,,OPs,60,180,P,0.3032,-1.2129,m,""
Epinephelus marginatus,5045,EPIMAR-01,88,Medes Islands,2021-09-04,,OPs,130,230,P,0.3009,-1.2035,m,""
Epinephelus marginatus,5051,EPIMAR-02,90,Medes Islands,2021-09-04,,OPs,130,230,P,0.3009,-1.2035,m,""
Epinephelus marginatus,4997,EPIMAR-03,76,Medes Islands,2021-09-04,,OPs,60,180,P,0.3032,-1.2129,m,""
Epinephelus marginatus,5001,EPIMAR-04,82,Medes Islands,2021-09-04,,OPs,60,180,P,0.3032,-1.2129,m,""
Epinephelus marginatus,5004,EPIMAR-05,78,Medes Islands,2021-09-04,,OPs,60,180,P,0.3032,-1.2129,m,""
Epinephelus marginatus,5005,EPIMAR-06,84,Medes Islands,2021-09-04,,OPs,60,180,P,0.3032,-1.2129,m,""
Epinephelus marginatus,5006,EPIMAR-07,68,Medes Islands,2021-09-04,,OPs,60,180,P,0.3032,-1.2129,m,""
Seriola dumerili,5044,SERDUM-01,100,Medes Islands,2021-09-04,,OPs,130,230,P,0.3009,-1.2035,m,""
Seriola dumerili,5046,SERDUM-02,110,Medes Islands,2021-09-04,2021-11-06,OPs,130,230,P,0.3009,-1.2035,m,Recaptured by a fisherman. Tag reused in another indivividual.
Seriola dumerili,5047,SERDUM-03,77,Medes Islands,2021-09-04,,OPs,130,230,P,0.3009,-1.2035,m,""
Seriola dumerili,5048,SERDUM-04,60,Medes Islands,2021-09-04,,OPs,130,230,P,0.3009,-1.2035,m,""
Seriola dumerili,5052,SERDUM-05,70,Medes Islands,2021-09-04,,OPs,130,230,P,0.3009,-1.2035,m,""
Sphyraena viridensis,5017,SPHVIR-01,58,Medes Islands,2021-09-04,,OPs,60,180,A,0.013588,0,m/s2,""
Sphyraena viridensis,5018,SPHVIR-01,58,Medes Islands,2021-09-04,,OPs,60,180,P,0.3009,-1.2035,m,""
Sphyraena viridensis,5019,SPHVIR-02,63,Medes Islands,2021-09-04,,OPs,60,180,A,0.013588,0,m/s2,""
Sphyraena viridensis,5020,SPHVIR-02,63,Medes Islands,2021-09-04,,OPs,60,180,P,0.3009,-1.2035,m,""
Sphyraena viridensis,5025,SPHVIR-03,39,Medes Islands,2021-09-04,,OPs,60,180,A,0.013588,0,m/s2,""
Sphyraena viridensis,5026,SPHVIR-03,39,Medes Islands,2021-09-04,,OPs,60,180,P,0.3009,-1.2035,m,""
Seriola dumerili,5039,SERDUM-06,83,Medes Islands,2021-09-05,,OPs,130,230,P,0.3009,-1.2035,m,""
Seriola dumerili,5041,SERDUM-07,60,Medes Islands,2021-09-05,,OPs,130,230,P,0.3009,-1.2035,m,""
